feature,importance,fold
N_hist_auth_month_diff_mean,188.25,3
N_hist_auth_month_diff_mean,160.75,2
new_purchase_month_mean,159.75,3
new_purchase_amount_max,136.25,3
new_purchase_month_mean,132.75,2
new_month_lag_mean_y,130.0,3
new_purchase_amount_max,127.0,1
N_hist_auth_month_diff_mean,125.25,1
new_month_lag_mean_y,124.25,2
new_month_lag_mean_y,122.75,1
new_purchase_amount_max,121.25,4
new_purchase_amount_max,118.25,2
new_month_lag_mean_y,118.0,4
new_purchase_month_mean,115.25,4
elapsed_time,110.5,1
N_hist_auth_month_diff_mean,110.5,4
new_purchase_date_uptonow,109.0,3
new_purchase_month_mean,102.5,1
new_purchase_amount_max_mean,96.0,2
Y_hist_auth_month_diff_mean,90.0,3
elapsed_time,86.75,3
new_category_1_mean,86.5,3
new_purchase_amount_max_mean,86.5,3
new_category_1_mean,82.5,2
new_purchase_date_ptp,80.5,2
new_purchase_date_ptp,80.0,3
new_purchase_date_uptonow,80.0,1
new_purchase_date_ptp,79.75,1
historica_merchants_category_1_sum,79.25,3
new_category_1_mean,77.5,4
hist_month_diff_mean,77.5,3
new_purchase_date_average,77.0,3
new_purchase_amount_max_mean,76.0,4
new_purchase_date_uptonow,75.75,2
N_hist_auth_purchase_amount_sum,74.25,3
N_hist_auth_installments_sum,73.5,3
elapsed_time,73.25,2
new_purchase_amount_max_mean,70.25,1
hist_purchase_amount_max_mean,69.5,3
N_hist_auth_purchase_amount_min,67.0,3
union_merchants_category_1_sum,66.25,3
union_authorized_flag_mean,65.75,1
N_hist_auth_purchase_amount_sum,65.25,2
hist_purchase_amount_max_mean,65.0,1
Y_union_auth_month_diff_mean,65.0,3
new_category_1_mean,64.75,1
Y_union_month_nunique_x,64.0,3
Y_union_auth_category_1_mean,63.75,3
union_authorized_flag_mean,63.75,3
elapsed_time,63.25,4
new_purchase_date_average,63.25,1
hist_purchase_amount_max_mean,62.5,2
union_purchase_date_max,62.25,3
new_purchase_date_average,62.25,2
new_purchase_date_uptonow,62.0,4
historica_merchants_category_1_sum,61.0,2
hist_purchase_date_max,60.75,3
Y_union_month_nunique,60.25,3
hist_purchase_amount_max_mean,60.0,4
hist_month_diff_mean,59.5,2
Y_hist_auth_purchase_date_min,58.75,3
hist_purchase_amount_skew_skew,58.5,3
Y_hist_auth_month_diff_mean,58.0,1
new_purchase_amount_mean,58.0,3
union_month_diff_mean,57.5,3
union_purchase_date_uptonow,57.0,3
Y_hist_auth_month_diff_mean,57.0,2
Y_union_auth_month_diff_mean,57.0,2
union_purchase_amount_median_skew,56.75,3
Y_union_month_nunique_x,56.75,1
merchants_avg_sales_lag12_min,55.75,3
N_hist_auth_purchase_amount_sum,55.75,1
Y_union_month_nunique,55.5,1
hist_purchase_amount_max_skew,55.5,3
hist_purchase_amount_var_skew,55.25,3
merchants_avg_purchases_lag3_min,55.0,2
score_numerical_skew,54.0,3
new_purchase_date_ptp,53.75,4
union_authorized_flag_mean,53.5,4
Y_union_month_nunique_x,53.5,2
N_hist_auth_purchase_date_ptp,53.5,3
hist_purchase_amount_skew_skew,53.5,2
new_purchase_amount_mean,53.25,1
hist_month_diff_mean,53.0,1
new_purchase_amount_std,53.0,1
hist_purchase_amount_var_skew,52.75,2
union_purchase_date_max,52.75,2
hist_purchase_date_max,52.0,2
new_purchase_date_average,51.5,4
union_purchase_amount_median_skew,51.5,4
N_hist_auth_purchase_amount_min,51.5,2
union_purchase_amount_median_skew,51.5,2
Y_hist_auth_purchase_date_min,51.25,2
N_hist_auth_purchase_date_average,51.0,3
merchants_avg_purchases_lag3_median,50.75,2
Y_union_auth_month_lag_mean,50.75,3
new_purchase_date_min,50.5,2
new_purchase_amount_std,50.0,3
union_authorized_flag_mean,50.0,2
hist_purchase_date_min,49.75,2
N_hist_auth_installments_sum,49.5,4
union_month_lag_mean_x,49.25,3
N_hist_auth_purchase_amount_sum,48.75,4
hist_month_diff_mean,48.75,4
Y_union_auth_month_diff_mean,48.5,1
new_purchase_amount_min_mean,48.5,3
Y_union_month_nunique_x,48.5,4
union_purchase_amount_skew_std,48.5,3
N_hist_auth_installments_sum,48.5,2
score_log3_median,48.25,3
hist_purchase_amount_skew_std,48.25,3
new_purchase_date_max,48.25,3
new_purchase_date_min,48.25,3
new_month_diff_mean,48.0,3
merchants_avg_purchases_lag3_min,48.0,1
union_month_lag_skew,48.0,2
union_purchase_amount_skew_skew,47.75,2
new_purchase_amount_mean,47.75,4
Y_union_month_nunique,47.5,2
N_hist_auth_purchase_month_mean,47.0,3
N_hist_auth_purchase_amount_min,46.75,1
merchants_active_months_lag12_skew,46.5,3
N_hist_auth_month_lag_mean,46.25,3
hist_purchase_amount_std_skew,46.25,3
N_hist_auth_purchase_date_uptonow,46.25,2
Y_union_month_nunique,46.25,4
union_month_lag_skew,46.25,3
union_purchase_date_uptonow,46.0,2
union_month_diff_mean,46.0,2
N_union_auth_purchase_date_average,45.75,3
Y_hist_auth_purchase_date_min,45.25,4
hist_purchase_date_min,45.25,3
union_purchase_amount_max_skew,45.0,3
N_hist_auth_month_lag_mean,45.0,2
hist_purchase_amount_min_skew,45.0,3
hist_purchase_amount_median_skew,44.75,2
hist_purchase_date_max,44.75,1
union_month_diff_mean,44.75,1
merchants_avg_purchases_lag3_min,44.75,3
N_hist_auth_purchase_amount_std,44.5,3
score_log12_median,44.5,3
N_hist_auth_installments_std,44.5,3
N_hist_auth_installments_sum,44.5,1
union_purchase_amount_skew_skew,44.0,3
union_purchase_amount_count_skew,44.0,3
hist_installments_var_skew,44.0,3
Y_union_auth_purchase_date_max,44.0,3
new_purchase_amount_std,43.75,4
historica_merchants_category_1_sum,43.75,4
Y_hist_auth_month_lag_mean,43.75,3
union_merchants_category_1_sum,43.5,4
union_purchase_date_uptonow,43.5,1
hist_purchase_amount_median_skew,43.25,3
Y_hist_auth_purchase_date_max,43.0,2
Y_hist_auth_purchase_date_max,43.0,3
union_purchase_amount_min_skew,42.75,3
Y_union_auth_category_1_mean,42.75,4
new_purchase_amount_mean,42.75,2
union_month_lag_mean_y,42.75,3
Y_union_auth_category_1_mean,42.5,2
N_hist_auth_purchase_amount_mean,42.5,3
merchants_avg_purchases_lag3_median,42.25,3
hist_purchase_amount_std_skew,41.75,2
merchants_avg_sales_lag12_min,41.75,2
new_purchase_date_max,41.75,2
hist_purchase_amount_skew_skew,41.75,1
N_hist_auth_merchant_category_id_nunique,41.75,3
score_log6_median,41.5,3
union_purchase_amount_median_skew,41.5,1
new_merchants_category_1_mean,41.5,3
union_purchase_amount_std_skew,41.5,3
hist_purchase_amount_median_skew,41.25,1
historica_merchants_category_1_sum,41.25,1
Y_union_auth_month_diff_std,41.0,3
union_purchase_amount_skew_mean,41.0,2
new_purchase_amount_std,41.0,2
new_purchase_amount_median_mean,40.75,2
hist_purchase_amount_skew_mean,40.75,2
historica_merchants_category_4_sum,40.75,3
new_purchase_month_std,40.75,2
hist_purchase_date_max,40.75,4
hist_purchase_amount_count_skew,40.75,3
Y_hist_auth_purchase_date_min,40.75,1
new_purchase_amount_mean_mean,40.5,3
union_purchase_amount_count_skew,40.5,2
hist_purchase_amount_var_skew,40.5,1
score_log6_median,40.25,2
merchants_avg_sales_lag3_min,40.0,3
score_numerical_skew,40.0,2
union_purchase_amount_var_skew,40.0,3
hist_purchase_amount_median_skew,40.0,4
union_month_lag_mean_x,40.0,2
merchants_avg_purchases_lag6_median,40.0,2
Y_union_auth_month_diff_mean,39.75,4
merchants_avg_sales_lag12_min,39.75,1
new_purchase_amount_min_mean,39.75,2
union_month_lag_skew,39.75,1
new_purchase_amount_min,39.75,3
union_merchants_category_1_sum,39.5,2
union_merchants_category_1_mean,39.25,1
Y_hist_auth_purchase_month_std,39.25,3
hist_purchase_amount_mean_skew,39.25,3
union_purchase_amount_skew_mean,39.0,3
union_merchants_category_1_sum,39.0,1
union_purchase_date_max,39.0,1
hist_purchase_amount_count_skew,38.75,2
union_purchase_month_std,38.75,3
N_hist_auth_purchase_date_uptonow,38.75,3
union_authorized_flag_std,38.75,2
N_hist_auth_category_1_sum,38.5,3
N_union_hour_nunique_x,38.5,3
Y_union_auth_month_lag_mean,38.5,2
hist_purchase_amount_min_skew,38.5,2
new_purchase_amount_min,38.25,2
new_purchase_date_min,38.25,1
Y_union_auth_purchase_month_std,38.25,3
score_log3_median,38.25,2
union_purchase_amount_skew_mean,38.25,4
new_merchants_category_1_sum,38.0,3
new_month_diff_mean,38.0,2
hist_installments_max_skew,38.0,3
union_purchase_amount_var_skew,38.0,2
Y_hist_auth_purchase_date_max,38.0,1
Y_hist_auth_month_diff_mean,37.75,4
N_hist_auth_purchase_date_uptonow,37.5,1
union_merchants_category_1_mean,37.25,3
score_log12_median,37.25,2
union_category_1_mean,37.0,3
hist_installments_skew_skew,36.75,2
hist_installments_std_skew,36.75,3
merchants_avg_sales_lag3_min,36.75,2
N_hist_auth_month_lag_mean,36.5,1
merchants_avg_purchases_lag12_median,36.5,3
hist_purchase_amount_var_skew,36.5,4
hist_month_lag_skew,36.25,3
N_hist_auth_purchase_amount_max,36.25,3
N_union_auth_purchase_date_average,36.25,2
merchants_avg_purchases_lag3_median,36.25,1
union_purchase_amount_skew_skew,36.25,4
union_installments_max_skew,36.0,3
Y_hist_auth_purchase_date_max,36.0,4
Y_hist_auth_purchase_date_ptp,36.0,3
N_union_weekofyear_nunique_x,36.0,3
union_authorized_flag_std,36.0,3
score_numerical_skew,35.75,1
union_month_lag_mean_x,35.75,1
Y_union_auth_category_1_mean,35.5,1
Y_union_auth_purchase_date_uptonow,35.5,1
union_purchase_amount_min_skew,35.5,2
N_hist_auth_month_lag_mean,35.5,4
new_purchase_amount_median_mean,35.5,3
hist_month_lag_mean_x,35.5,3
