feature,importance,fold
new_purchase_month_mean,142.5,1
new_month_lag_mean_y,141.75,1
new_purchase_amount_max,133.25,1
new_purchase_amount_max,127.75,3
new_purchase_amount_max,127.75,4
new_month_lag_mean_y,124.5,2
new_purchase_month_mean,124.25,2
new_month_lag_mean_y,124.25,4
new_purchase_month_mean,123.25,3
new_month_lag_mean_y,123.25,3
new_purchase_month_mean,121.25,4
elapsed_time,118.0,1
new_purchase_amount_max,113.75,2
N_hist_auth_month_diff_mean,113.0,1
N_hist_auth_month_diff_mean,107.75,2
N_hist_auth_month_diff_mean,102.75,3
N_hist_auth_month_diff_mean,92.5,4
new_purchase_amount_max_mean,90.0,2
new_purchase_amount_max_mean,89.5,3
new_purchase_date_ptp,87.25,1
new_purchase_date_uptonow,86.5,3
new_purchase_amount_max_mean,84.75,1
new_purchase_date_uptonow,82.25,1
new_category_1_mean,81.5,4
new_category_1_mean,80.0,3
new_category_1_mean,79.5,2
new_purchase_amount_max_mean,78.25,4
union_purchase_date_uptonow,77.25,1
hist_month_diff_mean,77.0,1
elapsed_time,76.75,3
new_purchase_date_average,76.25,1
new_purchase_date_ptp,74.25,2
elapsed_time,72.0,2
new_purchase_date_ptp,71.75,3
elapsed_time,70.0,4
union_purchase_date_uptonow,68.0,3
new_category_1_mean,66.25,1
hist_purchase_amount_max_mean,66.0,3
hist_purchase_amount_max_mean,66.0,1
new_purchase_date_average,65.75,2
new_purchase_date_uptonow,65.5,2
new_purchase_date_average,65.5,3
union_authorized_flag_mean,65.0,1
N_hist_auth_installments_sum,64.5,3
N_hist_auth_purchase_amount_sum,64.0,3
union_merchants_category_1_sum,63.25,3
N_union_auth_month_diff_mean,62.75,2
Y_union_month_nunique_x,62.75,1
new_purchase_date_uptonow,62.5,4
hist_purchase_amount_max_mean,62.25,2
Y_hist_auth_month_diff_mean,61.75,3
N_union_auth_month_diff_mean,61.0,1
N_hist_auth_purchase_amount_sum,60.0,2
hist_purchase_amount_max_mean,60.0,4
N_hist_auth_purchase_amount_sum,59.75,1
new_purchase_amount_std,59.75,1
Y_hist_auth_month_diff_mean,59.75,1
hist_purchase_date_max,59.25,1
Y_union_auth_category_1_mean,59.25,3
historica_merchants_category_1_sum,58.75,2
new_purchase_date_ptp,58.25,4
union_purchase_amount_median_skew,57.75,1
union_month_diff_mean,57.75,1
historica_merchants_category_1_sum,56.5,3
union_purchase_date_max,56.25,3
Y_union_month_nunique_x,56.25,3
union_purchase_date_uptonow,56.25,2
new_purchase_amount_mean,55.75,3
hist_month_diff_mean,55.75,3
Y_union_auth_purchase_date_uptonow,55.5,1
hist_month_diff_mean,55.0,4
hist_purchase_date_max,54.75,3
N_hist_auth_purchase_amount_sum,54.75,4
Y_union_month_nunique,54.25,1
N_hist_auth_installments_sum,54.25,4
new_purchase_amount_mean,54.25,1
hist_purchase_date_max,54.0,2
N_hist_auth_installments_sum,53.75,1
hist_purchase_amount_skew_skew,53.75,2
new_purchase_amount_mean,53.75,4
union_purchase_date_max,53.5,2
Y_hist_auth_purchase_date_min,53.5,1
Y_union_month_nunique,53.25,3
hist_month_diff_mean,53.25,2
Y_hist_auth_month_diff_mean,52.5,2
merchants_avg_purchases_lag3_min,52.25,1
Y_hist_auth_month_diff_mean,52.0,4
hist_purchase_date_max,52.0,4
union_purchase_date_max,51.75,1
hist_purchase_amount_var_skew,51.75,1
union_merchants_category_1_mean,51.5,1
Y_union_auth_month_diff_mean,51.5,2
Y_union_auth_month_diff_mean,51.5,1
union_authorized_flag_mean,51.25,3
union_purchase_amount_median_skew,51.0,4
hist_purchase_amount_skew_skew,50.75,1
Y_union_auth_month_diff_mean,50.75,3
Y_union_month_nunique_x,50.5,2
Y_hist_auth_purchase_date_min,50.5,4
hist_purchase_amount_skew_skew,50.5,3
N_hist_auth_installments_sum,50.25,2
union_authorized_flag_mean,50.0,4
hist_purchase_amount_min_skew,50.0,1
N_hist_auth_purchase_amount_min,49.5,1
merchants_avg_sales_lag12_min,49.5,1
merchants_avg_purchases_lag3_median,49.25,2
hist_purchase_amount_median_skew,49.0,1
union_authorized_flag_mean,49.0,2
Y_union_auth_month_diff_mean,48.75,4
new_purchase_amount_std,48.75,4
union_month_diff_mean,48.5,3
hist_purchase_amount_count_skew,48.5,1
Y_union_month_nunique_x,48.25,4
historica_merchants_category_1_sum,48.25,1
N_hist_auth_purchase_amount_min,47.75,2
union_purchase_amount_skew_skew,47.75,2
score_numerical_skew,47.5,1
N_union_auth_month_diff_mean,47.25,3
merchants_avg_purchases_lag3_min,47.0,2
Y_hist_auth_purchase_date_min,47.0,3
new_purchase_date_average,47.0,4
new_purchase_date_min,46.75,1
Y_union_auth_category_1_mean,46.75,4
union_purchase_amount_median_skew,46.75,3
N_hist_auth_purchase_date_ptp,46.25,3
new_purchase_amount_median_mean,46.25,1
Y_hist_auth_purchase_date_min,46.25,2
merchants_avg_purchases_lag3_median,46.0,1
hist_purchase_amount_median_skew,46.0,2
Y_union_auth_category_1_mean,45.75,2
hist_purchase_amount_var_skew,45.75,2
N_hist_auth_purchase_amount_min,45.5,3
Y_union_auth_month_lag_mean,45.25,1
Y_hist_auth_purchase_date_max,45.25,2
new_purchase_amount_min_mean,45.0,3
hist_purchase_amount_skew_skew,45.0,4
new_purchase_amount_std,44.75,3
score_numerical_skew,44.5,3
union_purchase_amount_median_skew,44.5,2
union_month_lag_skew,44.5,1
hist_purchase_amount_max_skew,44.0,1
merchants_avg_sales_lag12_min,44.0,3
hist_purchase_amount_max_skew,43.75,3
new_purchase_date_min,43.75,2
union_merchants_category_1_sum,43.75,1
Y_union_month_nunique,43.75,4
union_merchants_category_1_sum,43.75,4
hist_purchase_amount_mean_skew,43.5,1
new_purchase_amount_mean,43.25,2
N_hist_auth_purchase_date_average,43.25,3
new_purchase_amount_min_mean,43.0,1
N_hist_auth_purchase_date_ptp,43.0,1
union_purchase_amount_skew_mean,43.0,4
hist_purchase_amount_std_skew,42.75,3
score_log6_median,42.75,1
Y_union_month_nunique,42.5,2
historica_merchants_category_1_sum,42.5,4
union_purchase_amount_count_skew,42.5,3
Y_hist_auth_purchase_date_max,42.5,1
union_purchase_amount_count_skew,42.5,2
Y_union_auth_category_1_mean,42.0,1
N_union_auth_month_diff_mean,42.0,4
union_purchase_amount_skew_skew,42.0,1
Y_union_auth_purchase_date_max,41.75,1
hist_purchase_amount_var_skew,41.75,3
score_numerical_skew,41.75,2
new_purchase_date_max,41.75,1
union_month_lag_mean_x,41.75,1
hist_purchase_date_min,41.75,2
score_log12_median,41.5,1
union_purchase_amount_min_skew,41.5,1
N_hist_auth_purchase_date_uptonow,41.5,1
hist_purchase_amount_skew_std,41.25,3
new_purchase_date_min,41.25,3
union_month_lag_skew,41.25,3
hist_purchase_amount_median_skew,41.0,4
Y_union_auth_month_diff_std,41.0,1
N_hist_auth_month_lag_mean,41.0,1
merchants_active_months_lag12_skew,40.75,3
hist_purchase_date_min,40.75,3
score_log3_median,40.75,2
score_log12_median,40.75,3
union_merchants_category_1_sum,40.5,2
union_category_1_mean,40.5,3
N_union_auth_purchase_date_average,40.25,1
merchants_avg_sales_lag3_min,40.25,3
historica_merchants_category_4_sum,40.25,3
hist_purchase_amount_std_skew,40.25,1
union_purchase_amount_skew_mean,40.25,2
hist_installments_skew_skew,40.0,1
union_month_diff_mean,40.0,2
new_purchase_amount_min_mean,39.75,4
union_purchase_amount_max_skew,39.75,3
union_authorized_flag_std,39.5,1
union_installments_skew_mean,39.5,1
N_hist_auth_purchase_amount_std,39.5,1
Y_union_auth_month_diff_std,39.25,2
union_purchase_date_uptonow,39.0,4
new_purchase_amount_min,38.75,2
