feature,importance,fold
hist_month_diff_mean,2.8703918008461655,1
hist_month_diff_mean,2.8396551864247757,5
hist_month_diff_mean,2.826969323085966,2
hist_month_diff_mean,2.8227740617273507,4
hist_month_diff_min,2.810292346770752,3
hist_month_diff_mean,2.809802861342151,3
hist_category_1_mean,2.8051744095695037,5
hist_month_nunique,2.801388898249375,5
hist_month_diff_max,2.8008539238952244,4
hist_category_1_mean,2.7959042993256586,1
hist_category_1_mean,2.792897224331702,4
hist_category_1_mean,2.792564046369434,2
hist_month_nunique,2.7914783617809027,4
hist_category_1_mean,2.786624468234247,3
hist_month_diff_max,2.7834257138693195,2
hist_month_nunique,2.7796955825832605,2
hist_month_nunique,2.7786216319170975,1
hist_month_nunique,2.765834328092139,3
new_month_lag_mean,2.7631192473150503,5
new_month_lag_mean,2.7619088074218596,3
hist_month_diff_max,2.750632608005343,5
new_month_lag_mean,2.7333495831623678,1
new_month_lag_mean,2.7237160027068517,4
hist_category_3_1_sum,2.7145891773931408,1
purchase_amount_ratio,2.711932954106577,5
new_CLV,2.704574551297809,5
new_month_lag_mean,2.7027416502626394,2
hist_category_3_1_sum,2.6968906474900645,5
hist_category_3_1_sum,2.693677929374804,3
hist_category_3_1_sum,2.6874264133223082,4
new_CLV,2.6869676032251535,3
purchase_amount_ratio,2.68542928234474,4
purchase_amount_ratio,2.6849417973457474,1
purchase_amount_ratio,2.683594885953606,3
category_1_mean,2.6769797922849525,5
category_1_mean,2.6741626832813266,3
hist_weekofyear_nunique,2.674058540238087,3
hist_authorized_flag_mean,2.6728139322112012,5
hist_authorized_flag_mean,2.6722394604367237,1
hist_month_diff_min,2.671484973485716,1
new_CLV,2.6681443646009684,1
category_1_mean,2.6631493716994057,1
hist_month_diff_max,2.6621740506905924,1
hist_authorized_flag_mean,2.6585790577833803,4
category_1_mean,2.658369197732662,2
purchase_amount_ratio,2.65830005980739,2
category_1_mean,2.6581455269954914,4
new_CLV,2.657299220523733,2
hist_weekofyear_nunique,2.6571156885407685,4
hist_category_3_1_sum,2.654586767305953,2
hist_weekofyear_nunique,2.64864943853384,5
new_CLV,2.642666329612858,4
hist_month_diff_min,2.6414615019422594,5
hist_weekofyear_nunique,2.6353262768551318,2
hist_weekofyear_nunique,2.630900736609248,1
hist_month_diff_min,2.6296187134828832,2
new_purchase_date_diff,2.62777022284389,3
hist_authorized_flag_mean,2.6253497559159706,2
hist_authorized_flag_mean,2.6192662437560656,3
hist_month_diff_max,2.6181055730061193,3
new_purchase_date_diff,2.6180105462839247,4
hist_month_diff_min,2.6101464808837984,4
new_day_mean,2.609680259899964,2
hist_purchase_date_diff,2.603196263079647,2
hist_purchase_date_diff,2.603046330635632,3
hist_purchase_date_diff,2.5999306705193117,4
new_day_mean,2.5989328020265647,3
new_purchase_date_uptonow,2.598527066111097,4
new_day_mean,2.598311994173786,1
new_purchase_date_diff,2.59446420283843,5
new_purchase_date_uptomin,2.5885353686100108,5
new_purchase_date_uptonow,2.586539211035139,3
new_purchase_date_diff,2.585117257652554,1
new_purchase_date_uptonow,2.581967432771208,5
new_purchase_date_uptonow,2.5802472695250063,1
new_day_mean,2.5794937640941256,4
hist_purchase_date_diff,2.5790687419917444,5
new_day_mean,2.578705804922586,5
hist_purchase_date_diff,2.5786505552597783,1
new_purchase_amount_sum,2.568586947412621,1
new_purchase_amount_sum,2.564568615881384,4
new_purchase_amount_sum,2.5625302662644858,2
new_purchase_date_uptonow,2.5618294708671163,2
new_purchase_date_diff,2.559149337743752,2
new_category_1_mean,2.558339500418074,4
hist_purchase_date_uptonow,2.540590301049172,5
new_purchase_date_uptomin,2.539986315070489,1
new_purchase_amount_sum,2.5317523973496523,3
new_category_1_mean,2.531519065687272,5
new_purchase_date_average,2.5308423237586295,5
hist_card_id_count,2.5249740174517887,1
hist_card_id_count,2.5232397004668243,4
new_weekofyear_mean,2.5165676215798767,5
hist_purchase_date_uptonow,2.512444686237647,1
new_purchase_amount_sum,2.510832952805954,5
new_category_1_mean,2.5099524266450715,1
new_weekofyear_max,2.5080204842612157,2
hist_card_id_count,2.505200623921307,5
new_duration_max,2.50464664767114,4
new_category_1_mean,2.5041505108578797,3
hist_month_lag_mean,2.500559922897231,4
new_duration_max,2.496715644508254,2
new_month_mean,2.494109120149694,5
new_category_1_mean,2.4940975449524965,2
elapsed_time,2.4885444921161533,5
new_purchase_date_average,2.488132086109755,3
hist_card_id_count,2.4879407001677807,3
elapsed_time,2.486754695737689,1
hist_month_lag_mean,2.4865449944819216,5
hist_category_2_1_sum,2.4861178675329265,5
hist_card_id_count,2.4858591976242543,2
new_purchase_date_uptomin,2.4852768133904517,2
elapsed_time,2.485200945709471,3
new_duration_max,2.4842452416261116,5
new_purchase_date_average,2.481483978645236,4
hist_purchase_date_uptonow,2.480509732568323,3
new_weekofyear_mean,2.4800303295632724,4
hist_merchant_category_id_nunique,2.4800295938452876,1
hist_purchase_date_uptonow,2.479378860226423,4
new_weekofyear_mean,2.473886873530037,1
new_purchase_date_average,2.4727099618501214,1
hist_month_lag_var,2.4714417273587967,5
hist_category_3_2_sum,2.4698161998937147,5
hist_purchase_date_average,2.468855983183774,4
elapsed_time,2.467756548802427,4
new_weekofyear_max,2.4676493801608115,3
hist_amount_month_ratio_min,2.46653955200141,5
new_duration_max,2.4663757059961,3
hist_merchant_id_nunique,2.4661609283854355,5
hist_month_lag_mean,2.4650390751464255,3
hist_price_min,2.4649094919311674,1
hist_month_lag_var,2.4630114717191502,1
new_weekofyear_max,2.46134329993233,1
new_weekofyear_mean,2.4595953153528844,2
hist_category_2_1_sum,2.4593937689655894,3
hist_price_min,2.459282406456344,5
new_month_mean,2.4580318306147615,1
new_weekofyear_max,2.457192003814634,4
hist_month_var,2.456789517476594,1
hist_category_3_2_sum,2.4549647566772292,1
new_last_buy,2.4541898738369845,3
new_month_mean,2.450775942439146,4
new_duration_max,2.4477521396935997,1
hist_purchase_date_uptonow,2.4476751131241814,2
elapsed_time,2.447453844975098,2
hist_merchant_id_nunique,2.446237854594542,3
hist_purchase_date_average,2.4436996329378227,2
hist_merchant_id_nunique,2.4434849591765166,1
hist_price_mean,2.442761139372713,1
new_weekofyear_max,2.4417592097246645,5
new_weekofyear_mean,2.441422252452597,3
new_duration_var,2.4404836385393076,5
new_purchase_date_uptomin,2.4404671583988637,3
hist_month_lag_mean,2.4404031146303953,1
hist_purchase_date_uptomin,2.440228525804584,5
hist_duration_min,2.4389879047488727,1
hist_amount_month_ratio_min,2.438114386142877,3
hist_month_lag_skew,2.437091036765238,5
hist_price_mean,2.4369504346034456,5
hist_month_lag_skew,2.4364004624604108,3
hist_merchant_id_nunique,2.4357741884830633,4
new_last_buy,2.43569647567778,1
month_lag_mean,2.4352222097002243,5
hist_amount_month_ratio_mean,2.4346898741376246,5
new_amount_month_ratio_max,2.434287797233335,5
hist_category_3_2_sum,2.4332201585486524,4
CLV_ratio,2.432966445677232,5
hist_amount_month_ratio_min,2.432084062560752,4
month_lag_mean,2.430531769779196,1
hist_month_var,2.4285638359198765,5
hist_purchase_date_uptomin,2.427787691842002,1
new_month_mean,2.427384757454642,3
hist_amount_month_ratio_min,2.4272984110905957,1
hist_price_mean,2.4266601946044526,2
hist_category_3_2_sum,2.4263510603990315,3
hist_merchant_category_id_nunique,2.425274788275507,4
new_duration_var,2.4237215639867937,1
new_duration_var,2.4232817425050834,2
hist_category_2_1_sum,2.422582332363553,2
hist_month_lag_mean,2.4221238393958373,2
new_purchase_date_uptomin,2.42196352777738,4
hist_price_max,2.421457197130086,5
hist_month_lag_skew,2.419645376347124,1
new_price_sum,2.418006445227658,4
hist_category_2_1_sum,2.4172489820146845,1
hist_duration_skew,2.417132684776437,5
hist_duration_min,2.4153966750033815,5
new_purchase_date_average,2.4146737310453767,2
hist_price_mean,2.4144647827770322,4
hist_weekday_mean,2.4136550643996375,4
new_price_sum,2.412969485201818,5
hist_hour_mean,2.412650032253853,4
new_duration_var,2.4123883646947273,4
month_lag_mean,2.41075700531372,4
hist_purchase_date_uptomin,2.410023563055261,4
hist_weekend_mean,2.409961590704339,5
hist_hour_mean,2.4099183451087316,5
hist_purchase_date_average,2.409707310918109,5
hist_amount_month_ratio_mean,2.409345480941197,1
hist_month_lag_var,2.4089375004566995,4
hist_duration_min,2.408614083141594,3
hist_CLV,2.4066130850299645,1
hist_weekday_mean,2.4062932316296948,5
new_hour_mean,2.4058596160420196,5
hist_purchase_date_uptomin,2.4050226356368682,2
CLV_ratio,2.404389105655322,1
hist_price_mean,2.404084842162839,3
hist_day_nunique,2.403618431997421,5
new_price_min,2.4023150012821017,4
CLV_ratio,2.402303088674312,4
hist_merchant_category_id_nunique,2.4019309335314283,3
