feature,importance,fold
hist_month_diff_mean,2.887360313177903,5
hist_month_diff_mean,2.868766668958128,4
hist_month_diff_mean,2.8583009886109254,1
hist_month_diff_mean,2.8463690398822017,3
hist_category_1_mean,2.83050761521622,4
hist_month_diff_max,2.8249257997267065,4
hist_category_1_mean,2.8236897114741764,1
hist_month_diff_max,2.8153529419544667,2
hist_month_diff_mean,2.8134275420641592,2
hist_category_1_mean,2.804065617602981,2
hist_month_diff_min,2.803067092220658,3
hist_category_1_mean,2.7938839730740455,3
hist_category_1_mean,2.7922945761519897,5
hist_month_nunique,2.790005839595835,5
hist_month_nunique,2.7875929860614885,4
hist_month_nunique,2.7784854077497876,3
hist_month_nunique,2.7753858458329175,1
new_month_lag_mean,2.7752162208881987,4
hist_month_nunique,2.763200605500311,2
new_month_lag_mean,2.7593746837715374,3
new_month_lag_mean,2.7525354707450025,2
new_month_lag_mean,2.750806802583841,5
new_month_lag_mean,2.741102280104874,1
hist_month_diff_max,2.740666545775326,1
hist_month_diff_max,2.7379959413182933,5
hist_category_3_1_sum,2.731691042317068,4
hist_month_diff_min,2.725095968830842,1
purchase_amount_ratio,2.722057408566995,1
category_1_mean,2.7200556949985746,5
purchase_amount_ratio,2.7133730605112163,5
purchase_amount_ratio,2.711932336569009,3
new_CLV,2.7093297657471744,5
category_1_mean,2.708597260928662,3
purchase_amount_ratio,2.708547790140723,4
hist_authorized_flag_mean,2.707234967974189,4
hist_authorized_flag_mean,2.701803369550479,1
new_purchase_date_uptonow,2.7011669037020094,3
category_1_mean,2.700553649756798,4
hist_authorized_flag_mean,2.700484468298639,5
hist_category_3_1_sum,2.6990045632269686,5
category_1_mean,2.699003225802825,2
hist_weekofyear_nunique,2.6917427001790584,3
hist_category_3_1_sum,2.691069623596482,3
purchase_amount_ratio,2.6904953335268478,2
hist_category_3_1_sum,2.6883638599574207,2
new_CLV,2.6837449751449354,1
hist_weekofyear_nunique,2.6826366489480713,1
hist_category_3_1_sum,2.6806348729372527,1
new_purchase_date_uptonow,2.6796176335949218,4
hist_weekofyear_nunique,2.6789753799114333,2
hist_authorized_flag_mean,2.678424749888434,2
hist_purchase_date_diff,2.678302517621235,4
category_1_mean,2.6765255792835045,1
new_CLV,2.6758231441926283,2
hist_purchase_date_diff,2.675504901586545,2
new_CLV,2.675265215446365,3
hist_weekofyear_nunique,2.6687081964878554,4
new_purchase_date_uptonow,2.668574936970456,1
new_CLV,2.6603356702439127,4
hist_authorized_flag_mean,2.6600875087724725,3
new_purchase_date_uptonow,2.6582808812326575,2
hist_month_diff_min,2.6555576582055362,2
hist_weekofyear_nunique,2.6548279436794537,5
new_purchase_date_uptonow,2.652913511379771,5
new_purchase_amount_sum,2.6504601647705797,4
hist_month_diff_min,2.644352312538807,5
new_weekofyear_var,2.6413565297494186,3
hist_month_diff_max,2.6379578355015916,3
new_weekofyear_var,2.63313434932842,4
new_weekofyear_var,2.6300805431025283,1
new_weekofyear_var,2.6284129500926143,2
new_weekofyear_var,2.6266539512338136,5
hist_purchase_date_diff,2.6251257350722472,3
new_purchase_date_diff,2.624994085131429,4
new_purchase_amount_sum,2.6234912351614406,2
hist_purchase_date_diff,2.623318018791678,5
new_purchase_date_uptomin,2.623175244388709,3
hist_purchase_date_uptonow,2.6149603896539726,4
hist_month_lag_mean,2.612774023350675,4
new_purchase_amount_sum,2.6121795539434958,3
hist_purchase_date_diff,2.6111998808196066,1
new_purchase_date_uptomin,2.606756825062679,4
new_purchase_amount_sum,2.6024800053063974,5
hist_purchase_date_uptonow,2.6019516383839054,5
hist_month_diff_min,2.60115717046697,4
new_purchase_date_diff,2.5923188192179856,1
new_purchase_date_diff,2.5901760986577913,5
hist_purchase_date_uptonow,2.58397118870977,1
hist_purchase_amount_skew,2.5820193544704364,4
new_purchase_amount_sum,2.581577203115894,1
new_purchase_date_uptomin,2.580936159311499,1
new_purchase_date_diff,2.5808433207741066,3
new_weekofyear_mean,2.5785560230426525,4
hist_month_lag_skew,2.5771056933752563,3
hist_purchase_date_uptonow,2.576473375132772,3
new_purchase_date_uptomin,2.5702553071033103,5
hist_purchase_date_uptomin,2.5654147834142447,2
hist_last_buy,2.559899136228848,4
hist_first_buy,2.557995176314477,4
hist_month_lag_skew,2.5568782317718144,4
hist_month_lag_mean,2.556237479298923,5
new_weekofyear_mean,2.5553917503438948,3
hist_weekday_mean,2.553971470906279,4
new_purchase_date_uptomin,2.553324334840921,2
hist_installments_mean,2.546642217263251,4
hist_month_lag_mean,2.5465785200612663,1
hist_category_2_1_sum,2.545888259700729,3
new_weekofyear_mean,2.5440430393413793,1
new_purchase_amount_max,2.5434893313793343,4
new_purchase_date_diff,2.5433480708557004,2
new_purchase_amount_max,2.543016900073874,5
hist_purchase_date_uptomin,2.542520766675959,1
new_purchase_amount_max,2.5422678263232177,2
hist_month_lag_mean,2.542218228694849,3
hist_purchase_amount_skew,2.54099448555754,5
hist_purchase_date_uptomin,2.5406977036603426,4
hist_price_mean,2.5397811748943884,4
hist_purchase_amount_skew,2.538842135920517,3
hist_purchase_amount_skew,2.538461824869451,1
hist_weekday_mean,2.538003533605548,3
hist_purchase_date_uptonow,2.5375124281912944,2
hist_purchase_amount_min,2.537020025464659,4
hist_month_lag_skew,2.5369934628058326,1
hist_month_diff_var,2.5369199662278974,4
new_category_1_mean,2.5365947534646955,4
hist_price_max,2.536489307040701,4
new_weekofyear_mean,2.529590308798573,2
hist_purchase_amount_min,2.5281104621315977,1
hist_category_2_1_sum,2.528039590248437,4
new_purchase_date_average,2.5280026918144882,3
hist_month_diff_skew,2.527966255474303,4
rate_lag6_mean,2.527852943516598,5
hist_last_buy,2.5265853993645337,1
new_month_mean,2.52655267612833,4
new_weekofyear_mean,2.525959289564032,5
hist_category_2_1_sum,2.524600528770204,2
rate_lag12_mean,2.5234937630562047,3
new_purchase_amount_max,2.523480270261439,3
new_purchase_amount_var,2.523432411235127,4
new_purchase_amount_max,2.5232969461999,1
hist_month_lag_mean,2.522857119540594,2
new_purchase_date_average,2.5215322637020448,4
hist_month_lag_skew,2.5215222418697136,5
hist_purchase_amount_min,2.521343768285291,3
hist_weekend_mean,2.521279199070166,4
hist_month_lag_var,2.5202975628037554,4
hist_weekday_mean,2.5201073357398767,2
hist_first_buy,2.516486477372434,5
hist_purchase_date_average,2.5154097580014554,4
rate_lag12_mean,2.5150071409284287,4
hist_category_2_1_sum,2.5148700519345355,5
hist_installments_mean,2.513893493138384,3
hist_month_lag_skew,2.5138741306130425,2
hist_category_2_1_sum,2.5130927017450793,1
hist_purchase_amount_skew,2.512955724392177,2
hist_price_min,2.512764603008155,5
hist_weekday_mean,2.5126618875999407,5
hist_weekday_mean,2.512428566164429,1
hist_installments_var,2.512409039540637,4
hist_merchant_id_nunique,2.5122840144464242,4
hist_first_buy,2.51197734305036,3
hist_price_min,2.511826363962079,3
new_purchase_amount_var,2.5112700991027275,1
hist_purchase_date_average,2.5110819007208813,2
new_price_min,2.5105737105472725,4
hist_purchase_amount_min,2.5104495203994457,5
new_purchase_date_average,2.509482919924033,5
hist_purchase_date_uptomin,2.509352252892845,3
hist_price_min,2.508016966072496,4
hist_installments_mean,2.507536217572332,1
hist_purchase_date_uptomin,2.5052087181761156,5
rate_lag6_max,2.504993556223444,4
month_diff_mean,2.5045970303014853,4
hist_weekday_var,2.504196665963108,1
rate_lag6_max,2.502693164846164,1
rate_lag3_mean,2.5019845752146095,4
hist_weekofyear_var,2.5019100760268094,3
hist_month_mean,2.501798475683768,4
rate_lag6_mean,2.499935564826812,3
hist_last_buy,2.499770597902332,5
hist_weekofyear_var,2.4987631626216205,5
month_lag_mean,2.4982953230180827,4
card_id_cnt_ratio,2.498262993573633,4
hist_weekofyear_var,2.4982241971470245,4
hist_first_buy,2.4975317979266545,1
hist_price_mean,2.4974493347516407,1
new_purchase_amount_var,2.4974374511271287,5
new_purchase_amount_var,2.497157795454265,2
rate_lag12_sum,2.496387416282203,3
rate_lag6_mean,2.495438305487108,4
hist_merchant_category_id_nunique,2.4949836680372965,1
hist_weekend_mean,2.494944084832285,5
hist_merchant_id_nunique,2.494774841669151,5
hist_weekday_var,2.494649667550136,2
rate_lag3_var,2.4943755231429643,4
rate_lag6_mean,2.494327983302303,2
month_lag_mean,2.4931660828113547,1
new_category_1_mean,2.4920748542509776,5
new_category_1_mean,2.491433312706695,3
